Iteration,Vehicle Speed,Worker Location,Final Spacing,Result
1,20.0,"280.0, -1.85, 1.27",4.03,True Positive
2,13.74,"280.55, -1.06, 1.27",4.04,True Positive
3,12.58,"272.5, 1.75, 1.27",3.6,True Negative
4,2.0,"278.51, 0.33, 1.27",2.76,True Positive
5,5.45,"280.39, -2.7, 1.27",3.28,True Positive
6,12.79,"280.42, -2.29, 1.27",4.23,True Positive
7,3.8,"277.97, -2.03, 1.27",3.52,True Positive
8,13.25,"289.31, -0.32, 1.27",2.23,False Negative
9,17.63,"277.61, -4.41, 1.27",2.56,True Positive
10,11.48,"279.21, -2.14, 1.27",4.17,True Positive
11,4.67,"274.89, 0.92, 1.27",2.77,True Positive
12,8.42,"273.5, -0.43, 1.27",2.65,False Negative
13,12.76,"278.68, -4.66, 1.27",2.81,True Positive
14,12.3,"281.98, 3.76, 1.27",5.61,True Negative
15,11.28,"288.26, 0.17, 1.27",2.02,True Positive
16,11.49,"280.75, -6.51, 1.27",4.66,True Negative
17,12.36,"287.59, -2.59, 1.27",3.91,True Positive
18,13.36,"289.6, 4.58, 1.27",6.43,True Negative
19,8.82,"279.3, -2.64, 1.27",3.5,True Positive
20,7.74,"277.73, -3.62, 1.27",2.26,False Negative
21,7.31,"278.68, 0.84, 1.27",2.69,True Positive
22,6.14,"275.7, 0.03, 1.27",100.0,False Positive
23,11.0,"282.21, 2.91, 1.27",4.76,True Negative
24,2.0,"281.09, 0.0, 1.27",2.93,True Positive
25,12.93,"283.58, -3.18, 1.27",2.8,False Negative
26,15.71,"285.55, -3.6, 1.27",1.75,False Negative
27,13.8,"270.77, 0.19, 1.27",2.04,True Positive
28,13.6,"282.77, -6.73, 1.27",4.88,True Negative
29,18.69,"280.73, -1.45, 1.27",5.38,True Positive
30,2.99,"282.17, -0.56, 1.27",3.11,True Positive
31,3.18,"286.35, -3.21, 1.27",100.0,False Positive
32,9.74,"272.97, 1.44, 1.27",3.29,True Negative
33,2.0,"277.18, -0.35, 1.27",3.09,True Positive
34,15.37,"279.96, -1.53, 1.27",4.88,True Positive
35,3.25,"277.23, -5.94, 1.27",4.09,True Negative
36,9.37,"270.03, -6.17, 1.27",4.32,True Negative
37,14.12,"278.61, -2.79, 1.27",3.75,True Positive
38,12.77,"281.25, -9.25, 1.27",7.4,True Negative
39,11.32,"287.75, -1.53, 1.27",4.2,True Positive
40,8.57,"283.31, -4.21, 1.27",2.36,True Positive
41,8.92,"278.7, -0.39, 1.27",2.67,False Negative
42,5.23,"295.63, 1.68, 1.27",3.53,True Negative
43,4.69,"282.64, 2.22, 1.27",4.07,True Negative
44,2.0,"280.11, -3.65, 1.27",2.97,False Negative
45,14.4,"290.57, -2.16, 1.27",4.83,True Positive
